1,服装鞋包
2,,女装
2,,男装
3,,女鞋
4,,运动鞋
5,,男鞋/皮鞋/休闲鞋
6,,运动服/运动包/颈环配件
7,,男士内衣/女士内衣/家居服
8,,箱包皮具/热销女包/男包
9,,服饰配件/皮带/帽子/围巾
2,3C数码
1,,电脑硬件/显示器/电脑周边
2,,手机
3,,笔记本电脑
4,,网络设备/路由器/网络相关
5,,数码相机/摄像机/摄影器材
6,,mp3/mp4/iPod/录音笔
7,,电玩/配件/游戏/攻略
8,,影音电器
9,,厨房电器
10,,生活电器
3,美容护理
255,,美容护肤/美体/精油
255,,彩妆/香水/美发工具
255,,国货精品/开架化妆品
4,家居用品
255,,家居日用/收纳/礼品
255,,厨房/餐饮用具
255,,日化/清洁/护理
255,,床上用品/靠垫/毛巾/布艺
5,食品/保健
1,,零食/坚果/茶叶/地毯
2,,滋补/生鲜/速食/订餐
3,,保健食品
6,母婴用品
255,,奶粉/辅食/营养品
255,,尿片/洗护/喂哺用品
255,,益智玩具/早教/童车床/出行
255,,童装/童鞋/孕妇装
7,文体/汽车
1,,运动/瑜伽/健身/球迷用品
2,,户外/登山/野营/旅行
3,,汽车/配件/改装/摩托/自行车
4,,书籍/杂志/报纸
5,,宠物/宠物食品及用品
6,,音乐/影视/音像
7,,乐器/吉他/钢琴/配件
8,,办公设备/文具/耗材
8,珠宝/首饰
1,,珠宝/钻石/翡翠/黄金
2,,饰品流行/首饰/时尚饰品
3,,品牌手表/流行手表
9,收藏/爱好
1,,玩具/模型/娃娃/人偶
2,,古董/邮币/字画/收藏
3,,ZIPPO/瑞士军刀/眼镜
10,生活/服务
1,,鲜花速递/蛋糕配送/园艺花艺
2,,演出/吃喝玩乐折扣券
3,,酒店客栈/景点门票/度假旅游
4,,网店/网络服务/个性定制/软件
5,,成人用品/避孕/计生用品
